descricao,codigo,total_pedidos,total_quantidade,total_receita,preco_medio,ultima_venda
Jaleco Manuela Algodao Branco Tamanho:G,373-AL-008-000-F-G00,20,21.00,4000.00,190.48,2026-03-09
Jaleco Manuela Algodao Branco Tamanho:PP,373-AL-008-000-F-PP0,21,21.00,3980.00,189.52,2026-03-07
Turbante Rosa Pink,004-SD-004,16,20.00,1194.57,59.68,2026-04-09
Jaleco Heloisa Bege Tamanho:M,300-SD-054-000-F-M00,18,20.00,6660.00,336.44,2026-03-27
Jaleco Chloe Branco Tamanho:PP,378-ZI-008-000-F-PP0,19,20.00,4868.00,243.05,2026-03-14
Jaleco Heloisa Bege Tamanho:P,300-SD-054-000-F-P00,19,20.00,6544.00,327.20,2026-03-07
Jaleco Mariah Branco Tamanho:P,376-SD-008-000-F-P00,20,20.00,4542.50,227.13,2026-03-06
Turbante Lurex Branco Dourado,004-SD-020,19,20.00,1427.99,71.47,2026-04-08
Jaleco Heloisa Azul Marinho Tamanho:M,300-SD-053-000-F-M00,17,20.00,6410.00,334.71,2026-03-30
Turbante Rosa Nude,004-SD-007,18,19.00,1114.45,58.66,2026-04-12
Jaleco Mariah Branco Tamanho:M,376-SD-008-000-F-M00,18,19.00,4377.00,230.37,2026-03-25
Jaleco Isabel Off White Tamanho:M,400-ZI-108-000-F-M00,18,19.00,8119.00,425.50,2026-03-30
Gorro  Unissex D. Crepe Off White,002-SD-108-108-F,15,19.00,932.50,48.83,2026-03-31
Turbante Bordo,004-SD-002,18,18.00,1063.90,59.11,2026-04-02
Jaleco Isabel Off White Tamanho:PP,400-ZI-108-000-F-PP0,18,18.00,8270.00,459.44,2026-04-08
Jaleco Heitor Branco Tamanho: M,643-SD-008-000-M-M00,14,18.00,4620.00,255.71,2026-03-28
Jaleco Mariah Branco Tamanho:PP,376-SD-008-000-F-PP0,17,18.00,3875.50,214.44,2026-02-28
Scrunchie Orelhinha,004-SC-000,14,18.00,240.00,13.93,2025-10-24
Jaleco Manoel Branco Tamanho:GG,371-SD-008-000-M-GG0,17,18.00,3210.00,178.33,2026-04-22
Jaleco Manuela Algodao Branco Tamanho:GG,373-AL-008-000-F-GG0,17,18.00,3600.00,200.00,2026-04-01
Gorro  Unissex D. Azul Bebe,002-SD-017-000-F,7,18.00,765.00,38.57,2026-02-14
Scrub Feminino Tec Easy Loren Preto Tamanho:M,080-SD-075-000-F-M00,17,17.00,7051.50,414.79,2026-02-27
Scrub Feminino Tec Easy Loren  Azul Marinho Tamanho:P,080-SD-072-000-F-P00,16,17.00,7670.00,451.25,2026-04-13
Jaleco Laila Branco Tamanho:P,460-SD-052-000-F-P00,17,17.00,6051.53,355.97,2026-04-23
Gorro  Unissex D. Rosa Nude,002-SD-007-000-F,16,17.00,765.00,45.00,2026-03-19
Jaleco Isabel Off White Tamanho:P,400-ZI-108-000-F-P00,17,17.00,6424.99,377.94,2026-03-25
Scrub Feminino Chumbo Tamanho:P,060-SD-014-014-F-P00,12,17.00,3740.00,220.00,2026-01-30
Scrub Masculino Azul Marinho Tamanho:G,070-SD-015-015-M-G00,11,16.00,3628.95,222.65,2026-03-16
Laço Preto,004-LC-000,6,16.00,190.00,24.17,2026-01-26
Gorro Unissex A. Chumbo,002-SD-014-000-M,10,16.00,711.00,44.10,2026-01-02
Mouse Pad Dupla Face Cor:Caramelo/Palha,101-MD-006,2,16.00,270.39999999999997,16.90,2026-04-24
Scrub Feminino Preto Tamanho:M,060-SD-012-012-F-M00,9,16.00,3366.00,211.44,2025-12-23
Turbante Cinza,004-SD-013,12,16.00,900.00,57.50,2025-12-19
Gorro Unissex D.  Azul Medio,002-SD-016-000-F,12,16.00,413.75,22.40,2026-03-14
Scrub Feminino Tec Easy Loren  Azul Marinho Tamanho:M,080-SD-072-000-F-M00,14,16.00,6320.00,387.14,2026-04-13
Jaleco Heloisa Branco Tamanho:GG,300-SD-052-000-F-GG0,12,15.00,3835.50,258.81,2026-03-21
Jaleco Marta Branco Manga Longa Tamanho:GG,372-SD-008-000-F-GG0,14,15.00,2669.00,177.79,2026-03-05
Gorro  Unissex D.  Verde Claro,002-SD-009-000-F,6,15.00,680.00,45.83,2026-03-20
Avental Cozinha Gabardine Cinza Tamanho:P,497-SD-013-000-U-P00,1,15.00,1050.00,70.00,2025-10-09
Turbante Bege,004-SD-006,14,15.00,894.00,59.57,2026-02-09
Calça Scrub Masculino AVULSA,072-SD-000-000-M-000,11,15.00,1500.00,100.00,2026-04-08
Jaleco Tec Easy Clara Cacau Tamanho:M;Cor:Cacau,700-SD-083-000-F-M00,13,14.00,5596.28,399.73,2026-04-23
