produto,total_pedidos,total_quantidade,total_receita,preco_medio
Jaleco Manuela Circo,26,97.00,25084.88,257.45
Jaleco Manoel Preto,53,115.00,24856.37,214.08
Camiseta Scrub Feminina AVULSA,88,212.00,24807.10,127.98
Gorro Unissex D.  Azul Marinho,104,686.00,24579.50,39.27
Jaleco Heloisa Bege com Preto,48,68.00,24014.00,351.37
Scrub FemininoTec Easy Loren  Camel,23,53.00,23667.75,444.64
Scrub FemininoTec Easy Loren Rosa Bebe,23,54.00,23610.00,431.35
Jaleco Katherine Branco,18,56.00,23415.00,416.82
Scrub FemininoTec Easy Loren Magenta,21,52.00,23289.75,446.33
Jaleco Tec Easy Clara Aço,31,58.00,23247.00,395.19
Jaleco Tec Easy Clara Azul Ciano,31,59.00,23235.82,392.97
Gorro  Unissex A. Azul Marinho,104,699.00,23154.00,36.98
Jaleco Heloisa Bege,26,64.00,23016.00,357.19
Jaleco Clinic Branco Feminino,99,129.00,22932.94,178.49
Jaleco Heloisa Rosa Nude,30,65.00,22890.00,347.07
Jaleco Chloe Chumbo,33,91.00,22857.50,251.21
Jaleco Samuel Bege,34,67.00,22682.00,328.74
Scrub Masculino Comfy Preto,35,62.00,22166.28,349.67
Scrub FemininoTec Easy Loren Azul Royal,15,50.00,22087.50,436.69
Jaleco Manuela Azul Bebê,32,104.00,21851.37,210.59
Desk Pad Dupla Face,26,302.00,21796.42,67.42
Jaleco Heitor Branco,56,83.00,21691.49,259.29
Jaleco Ester Branco,33,65.00,21634.59,329.15
Scrub Feminino Rosa Nude,52,97.00,21501.04,222.21
Jaleco Heloisa Bege Aveia,46,60.00,21064.00,348.92
Jaleco Manuela Verde Claro,49,98.00,20868.82,209.98
Turbante Bordô,71,543.00,20818.49,44.56
Scrub Masculino Comfy Azul Marinho,32,58.00,20655.18,351.20
Jaleco Manuela Lilás,33,94.00,20586.22,218.93
Jaleco Paulo Preto,35,76.00,19773.96,259.76
Jaleco Tec Easy Benicio Camel,25,49.00,19595.58,395.46
Jaleco Katherine Preto,10,46.00,19320.00,420.00
Jaleco Tec Easy Benicio Azul Ciano,22,47.00,19250.00,409.35
Turbante Marrom,70,499.00,19007.81,41.14
Scrub Feminino Verde Claro,26,85.00,18927.00,222.38
Jaleco Tec Easy Clara Magenta,28,47.00,18647.71,391.70
Scrub Feminino Glamour Camel,25,47.00,18446.50,374.89
Scrub Feminino Azul Médio,43,85.00,18322.79,214.07
Scrub Comfy Feminino Bordô,29,51.00,18047.28,352.90
Jaleco Samuel Swit Denin,20,53.00,17872.00,329.71
Jaleco Samuel Verde Escuro,23,50.00,17022.50,332.13
Jaleco Manoel Verde Escuro,31,81.00,16813.78,207.85
Jaleco Clinic Bege Feminino,65,94.00,16462.50,174.90
Jaleco Paulo Azul Marinho,23,64.00,16455.00,258.88
Jaleco Chloe Cinza,30,66.00,16214.00,245.23
Scrub FemininoTec Easy Loren  Azul Marinho,15,36.00,16200.00,450.00
Scrub MasculinoTec Easy Lorenzo Branco,10,36.00,16125.79,446.09
Jaleco Heloisa Rosa Pink,15,45.00,16104.80,355.67
Scrub MasculinoTec Easy Lorenzo Azul Royal,16,36.00,16100.11,445.66
Scrub Masculino Cinza,30,71.00,16040.00,224.19
Jaleco Tec Easy Clara Azul Royal,20,40.00,15977.00,396.35
Jaleco Tec Easy Clara Rosa Bebe,20,40.00,15969.50,394.63
Scrub Masculino Confy Chumbo,27,44.00,15917.12,362.95
Jaleco Samuel Verde Militar,19,43.00,15500.00,360.71
Scrub Comfy Feminino Branco,19,43.00,15333.88,354.97
Jaleco Heloisa Swit Denin,20,43.00,15324.80,354.46
Jaleco Manuela Branco Detalhes Azul Marinho,27,75.00,15320.00,204.40
Jaleco Manuela Azul Marinho Detalhes Dourado,7,72.00,15260.00,212.31
Jaleco Clinic Es,60,73.00,14966.63,205.62
Jaleco Paulo Chumbo,30,58.00,14957.00,257.27
Jaleco Heloisa Lilás Azaleia,15,44.00,14882.00,334.67
Jaleco Manuela Rosa Bebê,24,74.00,14749.48,208.84
Scrub Feminino Cinza,24,69.00,14732.00,215.60
Jaleco Manuela Rosa Pink,11,67.00,14594.00,216.63
Camiseta Scrub Masculino AVULSA,55,110.00,14396.00,131.99
Camiseta Scrub Feminino CONFY AVULSA,37,81.00,14128.50,175.18
Calça Scrub Feminina AVULSA,74,146.00,13979.50,98.07
Jaleco Manuela Roxo,12,63.00,13860.00,220.68
Jaleco Isac Branco,26,42.00,13785.78,327.68
Jaleco Manoel Bordô,24,64.00,13776.98,209.41
Jaleco Heloisa Verde Claro,9,38.00,13590.00,355.00
Jaleco Samuel Bordo,13,38.00,13324.00,344.52
Jaleco Chloe Azul Marinho,22,53.00,13247.50,248.82
Jaleco Heloisa Verde Militar,15,38.00,13230.00,342.69
Gorro Unissex D. Dente Branco,48,426.00,13180.00,35.20
Scrub Feminino Branco,43,70.00,13107.67,189.46
Scrub Feminino Glamour Rosa Nude,6,30.00,12870.00,428.00
Scrub Feminino Comfy Bege Aveia,17,35.00,12729.28,362.77
Gorro Unissex D. Bordô,78,380.00,12652.27,36.18
Jaleco Ester Preto,15,39.00,12650.61,322.28
Jaleco Manuela Bege Detalhes Azul Marinho,12,61.00,12615.00,205.97
Crachá Magnético Prata,121,199.00,12577.20,64.95
Scrub Feminino Comfy Bege Acinzentado,20,43.00,12563.00,322.36
Jaleco Manuela Tangerina,17,57.00,12538.00,219.92
Jaleco Tec Easy Benicio Azul Royal,15,32.00,12480.94,380.95
Jaleco Lis Branco,26,82.00,12397.50,151.40
Scrub Comfy Feminino Bege,12,34.00,12300.00,362.73
Scrub Masculino Verde Escuro,31,58.00,12274.00,214.68
Turbante Lurex Branco Dourado,69,176.00,12266.99,69.23
Jaleco Heloisa Rosa Nude com Preto,11,35.00,12240.00,342.00
Jaleco Manoel Azul Médio,23,57.00,12196.99,214.21
Gorro Unissex D. Branco,83,362.00,12096.18,35.76
Turbante Lurex Rosa Nude,41,180.00,11677.96,73.46
Scrub Feminino Rosa Pink,21,59.00,11484.00,208.11
Jaleco Heloisa Bege Acinzentado,22,37.00,11481.20,304.04
Jaleco Dani Branco,29,36.00,11406.13,316.75
Jaleco Orli Crepe Off White,7,22.00,11270.00,544.44
Jaleco Rute Branco,28,32.00,11233.49,347.12
Jaleco Samuel Bege Aveia,13,31.00,11094.00,356.53
